Matrice de corrélation :

             idf    scq   ictf  llm_score
idf        1.000  0.002  0.994      0.169
scq        0.002  1.000 -0.009     -0.023
ictf       0.994 -0.009  1.000      0.154
llm_score  0.169 -0.023  0.154      1.000


Extrait des scores par requête :
 id  ndcg@10       idf        scq      ictf  llm_score
301 0.163541  2.475185  94.204007  1.778123       0.95
302 0.811556  6.940256 133.196283  6.440229       0.95
303 0.138862  5.973361 143.565349  5.259618       0.95
304 0.288382  5.371092 154.802633  4.430113       0.95
305 0.000000  2.638773  97.730370  2.035171       0.75
306 0.705808  3.716974 123.223052  3.170850       0.85
307 0.620397  3.144189  99.698664  2.393663       0.95
308 0.636682  7.554856 111.002687  6.741066       0.95
309 0.000000  4.793200  93.615715  4.118044       0.75
310 0.305235  4.351487 179.980455  3.770666       0.85
311 0.905212  4.145805  78.453717  3.454722       0.95
312 0.696840 10.132386  43.527248  9.918812       0.95
313 1.000000  7.816909 158.078502  7.095063       0.95
314 0.000000  4.442882  92.671909  3.758064       0.95
315 0.069431  5.195488 139.484319  4.666617       0.95
316 0.646856 11.847247  96.825910 11.645202       0.85
317 0.693663  6.050916  99.941173  5.673557       0.95
318 0.110046  2.431359  91.608430  1.878824       0.50
319 0.611019  2.263958  89.339959  1.465296       0.75
320 0.000000  5.875574 206.356813  5.044353       0.95
321 1.000000  3.140123  74.748790  2.434452       0.95
322 0.000000  2.779132 102.400449  2.048063       0.95
323 0.782739  6.199675 143.961692  5.779483       0.95
324 0.804811  3.425501 112.034651  2.766067       0.85
325 0.135685  6.136398 102.058563  5.862775       0.60
326 1.000000  5.347775  98.890503  4.941413       0.75
327 0.078398  5.399332  91.723281  5.008466       0.95
328 0.726955  7.699474 102.437052  7.166050       0.95
329 0.690648  3.790992 127.481632  2.884903       0.90
330 0.347912  3.884177 131.473019  2.857069       0.70
331 1.000000  2.118234  85.710849  1.330918       0.95
332 0.161043  4.059855 118.188983  3.305770       0.95
333 0.794883  6.737012 108.219299  6.142613       0.75
334 0.500866  5.170135 108.039444  4.403984       0.90
335 0.674936  3.825851 123.873044  3.235654       0.95
336 0.138862  3.167638 110.985674  2.629607       0.80
337 0.290625  7.130877 109.072294  6.531681       0.95
338 0.585570  5.369074  89.424324  4.770340       0.85
339 0.469737  4.736853 137.923809  3.759664       0.95
340 0.474790  3.381390 117.870721  2.620737       0.95
341 0.757382  2.798045  69.232898  1.927452       0.95
342 0.337984  3.544639  39.714398  3.062147       0.95
343 0.000000  3.031309  73.113372  2.280297       0.75
344 0.098039  4.129671 131.998488  3.377176       0.65
345 0.227938  3.591580 118.878684  2.917085       0.85
346 0.063621  2.718135  68.409973  1.872792       0.85
347 0.069431  5.584754 101.996447  4.968546       0.95
348 0.906825 11.385149  35.059936 11.230998       0.95
349 0.864315  7.285264  55.980580  6.494800       0.95
350 0.513529  3.319638 117.060781  2.491636       0.65
351 0.936379  5.233433 143.355317  4.691892       0.95
352 0.650513  5.040729 113.845810  4.534776       0.75
353 0.538886  5.920969  96.508060  5.437963       0.90
354 0.290260  3.413594  77.062285  2.918593       0.80
355 0.510069  4.652320 139.621963  4.184866       0.95
356 0.000000  6.069007  93.430081  5.209434       0.60
357 0.933746  3.146742 111.532647  2.488629       0.95
358 0.611474  4.590101 139.002916  4.080425       0.95
359 0.000000  4.807740 119.446744  4.266545       0.65
360 0.249363  2.851251 105.656495  2.080700       0.85
361 0.465042  6.344288  97.648702  5.717529       0.95
362 0.344452  4.096557  85.716427  3.501077       0.95
363 0.078398  4.126361 130.405515  3.504326       0.95
364 0.700095  8.364724  56.848730  7.383895       1.00
365 1.000000  6.097733  97.279490  5.454929       0.95
366 0.826813  3.823294 108.296469  3.014770       0.90
367 0.253295  7.185444  54.835625  6.547545       0.90
368 0.933746  6.464727 104.869221  5.884728       1.00
369 0.358954 10.066794 129.932795  9.886863       0.95
370 0.073364  2.802017 105.994886  1.812682       0.85
371 0.000000  4.775663 122.709967  4.103023       0.85
372 0.588750  4.285920 129.844982  3.638654       0.90
373 0.573690  4.714883 126.971040  3.857766       0.75
374 0.545502  4.956291 140.271925  4.586442       0.95
375 0.536810  4.742215  92.822356  3.853948       0.85
376 0.249664  2.144902  57.521096  1.422917       0.75
377 0.655548  5.784883 100.936741  5.188605       0.85
378 0.000000  3.900599  83.136303  3.376848       0.75
379 0.110046  5.256825  48.020841  5.051277       0.75
380 0.265053  4.930507 133.144218  4.322533       0.95
381 0.283713  3.779970  81.917603  3.300132       0.95
382 0.852171  4.932571 145.049682  4.117375       0.85
383 0.254698  3.873938 127.357972  3.177405       0.90
384 0.417061  4.110322 129.028801  3.414308       0.50
385 0.930569  4.220817 131.051577  3.360428       0.95
386 0.085143  4.014468 130.412567  3.304471       0.95
387 0.293416  4.581803  96.201497  3.544981       0.95
388 0.000000  3.609745 119.287237  3.002430       0.95
389 0.357076  3.251530 113.695776  2.598607       0.85
390 0.848603  5.009943  92.430707  4.204236       0.95
391 0.926636  2.855929 142.125550  1.893038       0.85
392 1.000000  6.548867  56.295756  5.583031       0.85
393 0.388244  4.438322  85.904090  4.074967       0.50
394 0.085143  2.102712  57.281851  1.299857       0.95
395 0.291559  4.825770  48.150214  4.215799       0.85
396 1.000000  4.387080 127.021435  3.948367       0.95
397 0.073364  4.257979  87.678897  3.868648       0.95
398 0.110046  4.421195 130.110055  3.972798       0.60
399 0.316916  6.456166 101.721477  5.637067       0.95
400 0.857205  5.335224 149.908738  4.574870       0.95
401 0.293456  2.674088  99.573293  1.977590       0.85
402 0.564544  5.173440  99.251400  4.564689       0.95
403 0.845426  8.734257  55.438291  7.834574       1.00
404 0.154574  3.067875 108.707366  2.333202       0.85
405 0.232973  5.115982  86.011995  4.770185       0.80
406 0.494640  7.258015  54.449752  6.677121       1.00
407 0.857981  5.183686 144.327844  4.629527       0.95
408 0.399569  5.260913  97.315418  4.876563       0.95
409 0.399569  3.744785 160.361227  3.274210       0.85
410 1.000000  5.392931  85.313461  4.512221       0.95
411 0.469000  6.413989 148.595443  6.157780       0.90
412 0.617764  2.798045  69.232898  1.927452       0.95
413 0.221193  2.865049  70.258528  1.915053       0.90
414 0.519997  4.263137 138.238345  3.224351       0.85
415 1.000000  4.595789 137.221768  3.879117       0.85
416 0.520618  3.571503 107.613727  2.862187       0.95
417 0.735380  4.668756  46.145589  4.312868       0.70
418 0.708441  5.129597  89.250415  4.401562       0.50
419 0.110046  4.848848 145.178298  4.218871       0.95
420 0.921602  5.662689 153.507247  5.055426       0.95
421 0.138862  5.440336 113.342610  4.524963       0.95
422 0.476071  4.413032 133.716219  3.909854       0.80
423 0.914857  8.008727 155.772969  7.414565       0.95
424 0.000000  5.321751  49.181981  4.943937       0.90
425 0.860382  4.518242  84.932314  3.821119       0.95
426 0.227840  3.403130 115.422218  2.747779       0.90
427 0.576323  5.033237 133.467924  4.399247       0.85
428 0.492006  3.149155 108.079191  2.492742       0.95
429 0.353881  8.602197  54.094069  7.893705       1.00
430 0.701290  5.017023 139.795392  4.456582       0.70
431 1.000000  4.686212  91.697835  3.736455       0.90
432 0.000000  4.298160 130.428309  3.754365       0.75
433 0.110046  6.295668 143.367274  5.887566       0.95
434 0.926636  3.998636  85.314808  3.087710       0.95
435 0.094788  3.345281 113.177501  2.827348       0.85
436 0.430421  4.309990  91.576888  3.561036       0.95
437 0.000000  3.796750 126.296848  2.968572       0.75
438 0.391382  7.647314  88.878075  7.279747       0.70
439 0.220092  4.563003 137.237116  4.114762       0.70
440 0.224006  3.778143  84.934049  2.994358       0.95
441 0.772838  8.522948  53.638761  7.888641       1.00
442 0.000000  3.855127  76.824492  3.386930       0.85
443 0.591927  3.621643 120.022774  2.871118       0.80
444 0.914857  7.851915 104.913302  6.987705       0.95
445 0.775337  5.211091  92.429008  4.557443       0.95
446 0.693761  4.211430  88.902461  3.641816       0.60
447 0.278198  5.146649  90.817904  4.412906       0.95
448 0.138862  3.010511  72.239660  2.283832       0.90
449 0.229796  6.368066 103.292353  6.045386       0.95
450 0.860382  4.063879 130.324461  3.230571       0.75
601 0.501726  3.897940 132.651455  2.785676       0.65
602 0.234496  4.939996 151.968020  3.938826       0.90
603 0.397106  4.989948 147.473837  4.332796       0.95
604 0.854388  7.932523 106.944018  7.403941       0.95
605 0.066254  2.817757 137.527909  2.210600       0.80
606 0.620768  4.342144 133.141430  3.933528       0.75
607 0.366801  3.864251 123.375750  3.253831       0.95
608 0.057960  2.260157  90.405445  1.393076       0.75
609 0.676352  3.910500 165.343807  3.147010       0.95
610 0.000000  5.162663 157.319828  4.652037       0.85
611 0.287445  4.408256 133.821475  3.676956       0.75
612 0.564858  5.065250  99.154462  4.051251       0.85
613 0.407104  6.372287 132.120071  5.730178       0.85
614 0.370284  9.849845 150.754904  8.450222       0.95
615 0.185131  4.041073 129.786792  3.255529       0.80
616 0.725568  4.740269  94.353748  4.072437       0.95
617 0.333192  3.497951 121.480517  2.447088       0.85
618 0.054303  5.756734 147.239130  5.137025       0.95
619 0.634794  5.969163 153.849237  5.261740       0.75
620 0.073356  3.078476 114.214236  1.993728       0.95
621 0.776555  4.635158 175.739445  4.045365       0.95
622 0.049292  2.724291  66.734409  1.995742       0.95
623 0.535479  3.947876 131.573527  3.019194       0.85
624 0.345591  4.856164 128.724099  4.129555       0.65
625 0.094788  5.932639 132.095167  5.240081       0.75
626 0.246551  3.929988  83.525266  3.400130       0.95
627 0.000000  3.005835 110.045917  2.145530       0.95
628 0.336962  7.665675 129.455607  7.072475       0.95
629 0.190143  4.233824 135.274660  3.422042       0.95
630 0.880740  4.260597 127.784162  3.729256       0.95
631 0.106113  3.349135 151.949941  2.487308       0.95
632 0.460952  4.518547 182.376264  3.928704       0.95
