Matrice de corrélation :

             idf    scq   ictf  llm_score
idf        1.000 -0.110  0.998      0.372
scq       -0.110  1.000 -0.127      0.170
ictf       0.998 -0.127  1.000      0.359
llm_score  0.372  0.170  0.359      1.000


Extrait des scores par requête :
     id  P_10      idf        scq     ictf  llm_score
  19335   0.3 5.730988 187.334653 5.475946       0.76
  47923   1.0 6.798883 344.107925 6.420184       0.82
  87181   0.8 8.069450 272.550584 7.802886       0.86
  87452   0.9 7.850930 204.068540 7.549458       0.76
 104861   0.8 5.220548 251.463739 4.732680       0.84
 130510   1.0 7.039397 192.949029 6.738595       0.42
 131843   0.9 8.279229 108.952295 8.016382       0.42
 146187   0.9 6.703444 283.815858 6.450125       0.76
 148538   0.5 5.411288 238.869048 5.050996       0.75
 156493   1.0 5.297169 175.785306 4.902601       0.70
 168216   1.0 8.560046 331.852456 8.242447       0.85
 182539   1.0 5.810818 173.191099 5.584920       0.82
 183378   0.7 6.652004 195.876102 6.331290       1.00
 207786   0.8 4.273131 269.998579 3.865616       0.25
 264014   0.6 4.501735 278.915476 4.146081       0.65
 359349   1.0 6.964359 232.404559 6.495379       0.86
 405717   0.6 6.699425 263.049256 6.293845       0.77
 443396   0.1 5.304002 179.584304 5.038370       0.72
 451602   0.3 5.556706 256.026458 5.224229       0.80
 489204   0.2 6.441674 242.961909 6.110200       0.74
 490595   0.6 5.990048 185.567047 5.646163       0.78
 527433   0.6 6.086172 295.000454 5.692833       0.80
 573724   0.7 3.826081 205.355756 3.565754       0.75
 833860   0.6 4.074220 256.537971 3.805906       0.45
 855410   0.4 6.302807 113.024545 6.058524       0.42
 915593   0.3 4.555051 399.759905 4.166848       0.77
 962179   0.0 5.016394 224.578198 4.770762       0.85
1037798   0.1 5.053371 178.526391 4.822552       0.31
1063750   0.0 5.031477 273.454548 4.813059       0.40
1103812   0.6 4.268708 262.762172 4.019642       0.65
1106007   0.1 6.304594 131.649485 6.042117       0.45
1110199   0.4 5.920817 258.371759 5.530044       0.52
1112341   0.4 4.455496 269.453810 4.190024       0.40
1113437   0.4 5.227596 236.252157 4.983808       0.80
1114646   0.7 6.862310 170.380544 6.678049       0.70
1114819   0.9 4.531647 279.950959 4.332410       0.40
1115776   0.5 6.775340 262.392679 6.446839       0.75
1117099   0.7 4.343492 163.649804 4.050510       0.40
1121402   1.0 5.148494 276.698476 4.861734       0.40
1121709   0.1 3.554042 146.852637 3.264517       0.55
1124210   1.0 7.140138 114.972524 6.825247       1.00
1129237   0.5 4.309655 276.684508 3.979427       0.75
1133167   1.0 5.036146 175.433105 4.632235       0.40


Moyenne P_10 : 0.6047


idf — Kendall: 0.263, Pearson: 0.378

scq — Kendall: 0.058, Pearson: 0.042

ictf — Kendall: 0.256, Pearson: 0.363

llm_score — Kendall: 0.130, Pearson: 0.129
