Matrice de corrélation :

             idf    scq   ictf  llm_score
idf        1.000 -0.110  0.998      0.240
scq       -0.110  1.000 -0.127      0.117
ictf       0.998 -0.127  1.000      0.234
llm_score  0.240  0.117  0.234      1.000


Extrait des scores par requête :
     id      map      idf        scq     ictf  llm_score
  19335 0.284747 5.730988 187.334653 5.475946       0.82
  47923 0.384928 6.798883 344.107925 6.420184       0.75
  87181 0.668651 8.069450 272.550584 7.802886       0.90
  87452 0.274136 7.850930 204.068540 7.549458       1.00
 104861 0.363917 5.220548 251.463739 4.732680       0.76
 130510 0.853003 7.039397 192.949029 6.738595       0.75
 131843 0.327657 8.279229 108.952295 8.016382       0.55
 146187 0.571777 6.703444 283.815858 6.450125       0.80
 148538 0.273679 5.411288 238.869048 5.050996       0.75
 156493 0.703156 5.297169 175.785306 4.902601       0.70
 168216 0.814663 8.560046 331.852456 8.242447       0.82
 182539 0.794532 5.810818 173.191099 5.584920       0.83
 183378 0.325322 6.652004 195.876102 6.331290       0.85
 207786 0.414302 4.273131 269.998579 3.865616       0.45
 264014 0.261148 4.501735 278.915476 4.146081       0.43
 359349 0.503345 6.964359 232.404559 6.495379       0.96
 405717 0.348828 6.699425 263.049256 6.293845       0.74
 443396 0.003719 5.304002 179.584304 5.038370       0.78
 451602 0.117910 5.556706 256.026458 5.224229       0.92
 489204 0.049673 6.441674 242.961909 6.110200       0.65
 490595 0.472767 5.990048 185.567047 5.646163       0.76
 527433 0.121535 6.086172 295.000454 5.692833       0.78
 573724 0.555353 3.826081 205.355756 3.565754       0.73
 833860 0.110138 4.074220 256.537971 3.805906       0.50
 855410 0.950000 6.302807 113.024545 6.058524       0.50
 915593 0.377108 4.555051 399.759905 4.166848       0.81
 962179 0.078013 5.016394 224.578198 4.770762       0.92
1037798 0.211447 5.053371 178.526391 4.822552       0.50
1063750 0.003836 5.031477 273.454548 4.813059       0.15
1103812 0.401292 4.268708 262.762172 4.019642       1.00
1106007 0.056118 6.304594 131.649485 6.042117       0.40
1110199 0.151507 5.920817 258.371759 5.530044       0.45
1112341 0.096386 4.455496 269.453810 4.190024       1.00
1113437 0.088145 5.227596 236.252157 4.983808       0.75
1114646 0.413545 6.862310 170.380544 6.678049       0.72
1114819 0.630227 4.531647 279.950959 4.332410       0.45
1115776 0.310479 6.775340 262.392679 6.446839       0.40
1117099 0.171581 4.343492 163.649804 4.050510       0.55
1121402 0.816538 5.148494 276.698476 4.861734       0.51
1121709 0.058844 3.554042 146.852637 3.264517       0.55
1124210 0.905863 7.140138 114.972524 6.825247       0.86
1129237 0.295695 4.309655 276.684508 3.979427       0.85
1133167 0.578505 5.036146 175.433105 4.632235       0.50


Moyenne map : 0.3766


idf — Kendall: 0.218, Pearson: 0.339

scq — Kendall: 0.003, Pearson: -0.103

ictf — Kendall: 0.207, Pearson: 0.338

llm_score — Kendall: 0.072, Pearson: 0.131
