Matrice de corrélation :

             idf    scq   ictf  llm_score
idf        1.000  0.001  0.994      0.037
scq        0.001  1.000 -0.010      0.113
ictf       0.994 -0.010  1.000      0.018
llm_score  0.037  0.113  0.018      1.000


Extrait des scores par requête :
 id  P_10       idf        scq      ictf  llm_score
301   0.2  2.475185  94.204007  1.778123       0.65
302   0.8  6.940256 133.196283  6.440229       0.82
303   0.1  5.973361 143.565349  5.259618       1.00
304   0.4  5.371092 154.802633  4.430113       0.82
305   0.0  2.638773  97.730370  2.035171       1.00
306   0.6  3.716974 123.223052  3.170850       0.83
307   0.5  3.144189  99.698664  2.393663       0.80
308   0.2  7.554856 111.002687  6.741066       0.90
309   0.0  4.793200  93.615715  4.118044       0.31
310   0.2  4.351487 179.980455  3.770666       0.85
311   0.9  4.145805  78.453717  3.454722       0.61
312   0.6 10.132386  43.527248  9.918812       0.61
313   1.0  7.816909 158.078502  7.095063       0.94
314   0.0  4.442882  92.671909  3.758064       0.62
315   0.1  5.195488 139.484319  4.666617       0.45
316   0.7 11.847247  96.825910 11.645202       0.30
317   0.6  6.050916  99.941173  5.673557       0.74
318   0.1  2.431359  91.608430  1.878824       0.20
319   0.5  2.263958  89.339959  1.465296       0.30
320   0.0  5.875574 206.356813  5.044353       0.83
321   1.0  3.140123  74.748790  2.434452       0.83
322   0.0  2.779132 102.400449  2.048063       0.82
323   0.8  6.199675 143.961692  5.779483       0.70
324   0.8  3.425501 112.034651  2.766067       0.78
325   0.2  6.136398 102.058563  5.862775       0.20
326   1.0  5.347775  98.890503  4.941413       0.65
327   0.1  5.399332  91.723281  5.008466       0.78
328   0.5  7.699474 102.437052  7.166050       0.82
329   0.6  3.790992 127.481632  2.884903       0.78
330   0.4  3.884177 131.473019  2.857069       0.76
331   1.0  2.118234  85.710849  1.330918       0.64
332   0.2  4.059855 118.188983  3.305770       0.82
333   0.8  6.737012 108.219299  6.142613       0.41
334   0.3  5.170135 108.039444  4.403984       0.82
335   0.6  3.825851 123.873044  3.235654       0.78
336   0.1  3.167638 110.985674  2.629607       0.75
337   0.3  7.130877 109.072294  6.531681       0.85
338   0.2  5.369074  89.424324  4.770340       0.62
339   0.5  4.736853 137.923809  3.759664       1.00
340   0.4  3.381390 117.870721  2.620737       0.81
341   0.7  2.798045  69.232898  1.927452       0.45
342   0.4  3.544639  39.714398  3.062147       0.75
343   0.0  3.031309  73.113372  2.280297       0.80
344   0.1  4.129671 131.998488  3.377176       0.80
345   0.3  3.591580 118.878684  2.917085       0.70
346   0.1  2.718135  68.409973  1.872792       0.54
