Matrice de corrélation :

             idf    scq   ictf  llm_score
idf        1.000  0.001  0.994      0.162
scq        0.001  1.000 -0.010      0.193
ictf       0.994 -0.010  1.000      0.149
llm_score  0.162  0.193  0.149      1.000


Extrait des scores par requête :
 id      map       idf        scq      ictf  llm_score
301 0.033304  2.475185  94.204007  1.778123       0.62
302 0.628204  6.940256 133.196283  6.440229       0.83
303 0.182400  5.973361 143.565349  5.259618       0.80
304 0.115267  5.371092 154.802633  4.430113       0.85
305 0.001310  2.638773  97.730370  2.035171       0.20
306 0.114219  3.716974 123.223052  3.170850       0.76
307 0.235099  3.144189  99.698664  2.393663       0.61
308 0.540441  7.554856 111.002687  6.741066       1.00
309 0.001111  4.793200  93.615715  4.118044       0.42
310 0.142165  4.351487 179.980455  3.770666       0.85
311 0.442540  4.145805  78.453717  3.454722       0.80
312 0.748523 10.132386  43.527248  9.918812       0.81
313 0.759348  7.816909 158.078502  7.095063       0.85
314 0.002128  4.442882  92.671909  3.758064       0.71
315 0.023082  5.195488 139.484319  4.666617       0.65
316 0.586503 11.847247  96.825910 11.645202       0.45
317 0.508813  6.050916  99.941173  5.673557       0.65
318 0.008939  2.431359  91.608430  1.878824       0.20
319 0.057599  2.263958  89.339959  1.465296       0.31
320 0.024603  5.875574 206.356813  5.044353       0.80
321 0.282157  3.140123  74.748790  2.434452       1.00
322 0.002080  2.779132 102.400449  2.048063       0.84
323 0.196186  6.199675 143.961692  5.779483       0.92
324 0.477383  3.425501 112.034651  2.766067       0.76
325 0.072097  6.136398 102.058563  5.862775       0.20
326 0.616813  5.347775  98.890503  4.941413       0.77
327 0.116670  5.399332  91.723281  5.008466       0.72
328 0.656209  7.699474 102.437052  7.166050       0.81
329 0.264851  3.790992 127.481632  2.884903       0.82
330 0.095767  3.884177 131.473019  2.857069       1.00
331 0.247535  2.118234  85.710849  1.330918       0.76
332 0.123847  4.059855 118.188983  3.305770       0.85
333 0.331446  6.737012 108.219299  6.142613       1.00
334 0.340171  5.170135 108.039444  4.403984       0.65
335 0.266011  3.825851 123.873044  3.235654       0.78
336 0.044021  3.167638 110.985674  2.629607       0.75
337 0.277181  7.130877 109.072294  6.531681       0.75
338 0.452316  5.369074  89.424324  4.770340       0.80
339 0.399577  4.736853 137.923809  3.759664       0.83
340 0.076981  3.381390 117.870721  2.620737       0.86
341 0.286357  2.798045  69.232898  1.927452       0.43
342 0.132854  3.544639  39.714398  3.062147       0.81
343 0.011696  3.031309  73.113372  2.280297       0.75
344 0.052644  4.129671 131.998488  3.377176       0.82
345 0.109385  3.591580 118.878684  2.917085       0.65
346 0.029930  2.718135  68.409973  1.872792       0.31
347 0.053365  5.584754 101.996447  4.968546       0.76
348 0.810000 11.385149  35.059936 11.230998       1.00
349 0.223024  7.285264  55.980580  6.494800       0.41
350 0.068288  3.319638 117.060781  2.491636       0.44
351 0.405126  5.233433 143.355317  4.691892       0.75
352 0.045372  5.040729 113.845810  4.534776       0.40
353 0.245905  5.920969  96.508060  5.437963       0.77
354 0.043817  3.413594  77.062285  2.918593       0.52
355 0.131883  4.652320 139.621963  4.184866       1.00
356 0.010821  6.069007  93.430081  5.209434       0.71
357 0.255522  3.146742 111.532647  2.488629       0.75
358 0.207871  4.590101 139.002916  4.080425       0.73
359 0.014545  4.807740 119.446744  4.266545       0.65
360 0.148818  2.851251 105.656495  2.080700       1.00
361 0.362897  6.344288  97.648702  5.717529       0.75
362 0.094232  4.096557  85.716427  3.501077       0.42
