Matrice de corrélation :

             idf    scq   ictf  llm_score
idf        1.000  0.001  0.994      0.098
scq        0.001  1.000 -0.010      0.212
ictf       0.994 -0.010  1.000      0.086
llm_score  0.098  0.212  0.086      1.000


Extrait des scores par requête :
 id  ndcg_cut_10       idf        scq      ictf  llm_score
301     0.163541  2.475185  94.204007  1.778123       0.74
302     0.811556  6.940256 133.196283  6.440229       0.92
303     0.138862  5.973361 143.565349  5.259618       0.83
304     0.288382  5.371092 154.802633  4.430113       0.72
305     0.000000  2.638773  97.730370  2.035171       0.20
306     0.705808  3.716974 123.223052  3.170850       0.72
307     0.620397  3.144189  99.698664  2.393663       0.71
308     0.636682  7.554856 111.002687  6.741066       0.85
309     0.000000  4.793200  93.615715  4.118044       0.31
310     0.305235  4.351487 179.980455  3.770666       0.80
311     0.905212  4.145805  78.453717  3.454722       0.43
312     0.696840 10.132386  43.527248  9.918812       0.71
313     1.000000  7.816909 158.078502  7.095063       0.83
314     0.000000  4.442882  92.671909  3.758064       0.62
315     0.069431  5.195488 139.484319  4.666617       0.42
316     0.646856 11.847247  96.825910 11.645202       0.40
317     0.693663  6.050916  99.941173  5.673557       0.84
318     0.110046  2.431359  91.608430  1.878824       0.20
319     0.611019  2.263958  89.339959  1.465296       0.30
320     0.000000  5.875574 206.356813  5.044353       0.80
321     1.000000  3.140123  74.748790  2.434452       0.78
322     0.000000  2.779132 102.400449  2.048063       0.92
323     0.782739  6.199675 143.961692  5.779483       0.80
324     0.804811  3.425501 112.034651  2.766067       0.78
325     0.135685  6.136398 102.058563  5.862775       0.20
326     1.000000  5.347775  98.890503  4.941413       0.62
327     0.078398  5.399332  91.723281  5.008466       0.72
328     0.726955  7.699474 102.437052  7.166050       0.70
329     0.690648  3.790992 127.481632  2.884903       0.75
330     0.347912  3.884177 131.473019  2.857069       0.74
331     1.000000  2.118234  85.710849  1.330918       0.62
332     0.161043  4.059855 118.188983  3.305770       0.77
333     0.794883  6.737012 108.219299  6.142613       0.42
334     0.500866  5.170135 108.039444  4.403984       1.00
335     0.674936  3.825851 123.873044  3.235654       0.05
336     0.138862  3.167638 110.985674  2.629607       1.00
337     0.290625  7.130877 109.072294  6.531681       0.82
338     0.585570  5.369074  89.424324  4.770340       0.84
339     0.469737  4.736853 137.923809  3.759664       0.83
340     0.474790  3.381390 117.870721  2.620737       1.00
341     0.757382  2.798045  69.232898  1.927452       0.41
342     0.337984  3.544639  39.714398  3.062147       0.78
343     0.000000  3.031309  73.113372  2.280297       0.74
344     0.098039  4.129671 131.998488  3.377176       0.61
345     0.227938  3.591580 118.878684  2.917085       1.00
346     0.063621  2.718135  68.409973  1.872792       0.45
347     0.069431  5.584754 101.996447  4.968546       0.83
348     0.906825 11.385149  35.059936 11.230998       0.80
349     0.864315  7.285264  55.980580  6.494800       0.40
350     0.513529  3.319638 117.060781  2.491636       0.30
351     0.936379  5.233433 143.355317  4.691892       0.76
352     0.650513  5.040729 113.845810  4.534776       0.55
353     0.538886  5.920969  96.508060  5.437963       0.83
354     0.290260  3.413594  77.062285  2.918593       0.65
355     0.510069  4.652320 139.621963  4.184866       0.82
356     0.000000  6.069007  93.430081  5.209434       0.75
357     0.933746  3.146742 111.532647  2.488629       0.75
358     0.611474  4.590101 139.002916  4.080425       0.84
359     0.000000  4.807740 119.446744  4.266545       0.64
360     0.249363  2.851251 105.656495  2.080700       0.72
361     0.465042  6.344288  97.648702  5.717529       0.74
362     0.344452  4.096557  85.716427  3.501077       0.70
363     0.078398  4.126361 130.405515  3.504326       0.72
364     0.700095  8.364724  56.848730  7.383895       0.95
365     1.000000  6.097733  97.279490  5.454929       0.51
366     0.826813  3.823294 108.296469  3.014770       0.65
367     0.253295  7.185444  54.835625  6.547545       0.20
368     0.933746  6.464727 104.869221  5.884728       0.92
369     0.358954 10.066794 129.932795  9.886863       0.85
370     0.073364  2.802017 105.994886  1.812682       0.50
371     0.000000  4.775663 122.709967  4.103023       0.42
372     0.588750  4.285920 129.844982  3.638654       0.72
373     0.573690  4.714883 126.971040  3.857766       0.74
374     0.545502  4.956291 140.271925  4.586442       0.43
375     0.536810  4.742215  92.822356  3.853948       0.75
376     0.249664  2.144902  57.521096  1.422917       0.40
377     0.655548  5.784883 100.936741  5.188605       0.80
378     0.000000  3.900599  83.136303  3.376848       0.75
379     0.110046  5.256825  48.020841  5.051277       0.41
380     0.265053  4.930507 133.144218  4.322533       0.75
381     0.283713  3.779970  81.917603  3.300132       0.40
382     0.852171  4.932571 145.049682  4.117375       0.83
383     0.254698  3.873938 127.357972  3.177405       0.65
384     0.417061  4.110322 129.028801  3.414308       0.40
385     0.930569  4.220817 131.051577  3.360428       0.84
386     0.085143  4.014468 130.412567  3.304471       0.82
387     0.293416  4.581803  96.201497  3.544981       0.65
388     0.000000  3.609745 119.287237  3.002430       0.75
