Matrice de corrélation :

             idf    scq   ictf  llm_score
idf        1.000 -0.110  0.998      0.248
scq       -0.110  1.000 -0.127      0.274
ictf       0.998 -0.127  1.000      0.228
llm_score  0.248  0.274  0.228      1.000


Extrait des scores par requête :
     id  ndcg@10      idf        scq     ictf  llm_score
  19335 0.485184 5.730988 187.334653 5.475946       0.75
  47923 0.544389 6.798883 344.107925 6.420184       0.95
  87181 0.624765 8.069450 272.550584 7.802886       0.95
  87452 0.502487 7.850930 204.068540 7.549458       0.75
 104861 0.807953 5.220548 251.463739 4.732680       0.92
 130510 0.638993 7.039397 192.949029 6.738595       0.55
 131843 0.933746 8.279229 108.952295 8.016382       0.40
 146187 0.827371 6.703444 283.815858 6.450125       0.90
 148538 0.460697 5.411288 238.869048 5.050996       0.95
 156493 0.929520 5.297169 175.785306 4.902601       0.95
 168216 0.977915 8.560046 331.852456 8.242447       0.95
 182539 0.625657 5.810818 173.191099 5.584920       0.75
 183378 0.466140 6.652004 195.876102 6.331290       0.95
 207786 0.506607 4.273131 269.998579 3.865616       0.75
 264014 0.504775 4.501735 278.915476 4.146081       0.75
 359349 0.870750 6.964359 232.404559 6.495379       0.95
 405717 0.380045 6.699425 263.049256 6.293845       0.95
 443396 0.063621 5.304002 179.584304 5.038370       0.75
 451602 0.145784 5.556706 256.026458 5.224229       0.90
 489204 0.323369 6.441674 242.961909 6.110200       0.75
 490595 0.395167 5.990048 185.567047 5.646163       0.90
 527433 0.589066 6.086172 295.000454 5.692833       0.95
 573724 0.422701 3.826081 205.355756 3.565754       0.95
 833860 0.482687 4.074220 256.537971 3.805906       0.75
 855410 0.966549 6.302807 113.024545 6.058524       0.75
 915593 0.371854 4.555051 399.759905 4.166848       0.75
 962179 0.000000 5.016394 224.578198 4.770762       0.95
1037798 0.192896 5.053371 178.526391 4.822552       0.55
1063750 0.000000 5.031477 273.454548 4.813059       0.75
1103812 0.513262 4.268708 262.762172 4.019642       0.58
1106007 0.242096 6.304594 131.649485 6.042117       0.95
1110199 0.383155 5.920817 258.371759 5.530044       0.90
1112341 0.475827 4.455496 269.453810 4.190024       0.75
1113437 0.198725 5.227596 236.252157 4.983808       0.75
1114646 0.386624 6.862310 170.380544 6.678049       0.95
1114819 0.567232 4.531647 279.950959 4.332410       0.75
1115776 0.434034 6.775340 262.392679 6.446839       0.90
1117099 0.549050 4.343492 163.649804 4.050510       0.55
1121402 0.746608 5.148494 276.698476 4.861734       0.75
1121709 0.049941 3.554042 146.852637 3.264517       0.35
1124210 0.733318 7.140138 114.972524 6.825247       0.95
1129237 0.487529 4.309655 276.684508 3.979427       0.95
1133167 0.577182 5.036146 175.433105 4.632235       0.95


Moyenne nDCG@10 : 0.4973


idf — Kendall: 0.259, Pearson: 0.424

scq — Kendall: 0.049, Pearson: -0.032

ictf — Kendall: 0.257, Pearson: 0.409

llm_score — Kendall: 0.062, Pearson: 0.118
